,原句,第一个词,第二个词,tag,第一个词位置,第二个词位置
0,目前 的 观点 是 ， 幽门螺杆菌感染 引起 的 胃远端 慢性 炎症 会导致 胃部 未 受 感染 的 上体 产生 更多 的 酸 。,炎症,感染,1,10,15
1,将 溶质 放入 烧杯 中 ， 并 将 5ml 溶剂 移 到 25ml 玻璃 烧瓶 中 进行 每次 试验 。,溶剂,烧瓶,6,9,14
2,他们 的 作曲家 已 被遗忘,作曲家,被遗忘,18,2,4
3,女孩 在 中央山谷 的 一棵 果树 上 展示 了 一张 苹果树 开花 的 照片,果树,开花,3,5,11
4,这位 演唱 了 三首 提名 歌曲 的 歌手 也 在 红地毯 上 引起 了 骚动,歌手,骚动,0,7,14
5,该 技术 可 经济 地 从 OTEC 系统 生产 和 传输 电力,电力,系统,8,11,7
6,各省 分为 县 （ Shahrestan ） ， 再 细分 为 区 （ Bakhsh ） 和 分区 （ Dehestan ）,各省,县,3,0,2
7,报纸 在 Newsgator 服务 的 帮助 下 通过 小 部件 交换 内容,报纸,服务,11,0,3
8,老茧 是 由 不 合适 的 鞋 或 皮肤 异常 引起 的 。,老茧,皮肤,1,0,8
9,成人 为此 使用 药物,成人,药物,11,0,3
10,议员 建议 通过 启发 来 评估 无穷 补语 。,议员,启发,11,0,3
11,在 流行 的 电影 《 深度撞击 》 中 ， 英仙座 流星雨 的 作用 是 由 彗星 引起 的 ， 在 这种 情况 下 ， 周期性 的 彗星 斯威夫特塔特尔,流星雨,彗星,1,10,26
12,此外 ， 这些 国际 非 政府 组织 的 实践者 围绕 参与 构建 了 一个 话语 ， 扭曲 了 参与 的 真正 意义 。,话语,参与,14,14,18
13,开尔文 买 了 一个 银 戒指 ， 他 很高兴 戴着 它 ， 尽管 它 有点 太 大 了 哈哈,银,戒指,18,4,5
14,他 的 两只 脚 都 在 向 球 内 移动,脚,球,6,3,7
15,由于 盎格鲁 - 诺曼军队 在 这 场 战斗 中 损失 甚微 ， 他们 的 弓箭手 在 战斗 开始 时 向 爱尔兰 东道主 射出 了 大量 的 箭 ， 而 爱尔兰 东道主 并没有 得到 盔甲 的 保护 ， 在 他们 到达 近处 之前 ， 他们 击落 了 数百 人 ， 然后 冲向 由 身穿 盔甲 的 骑士 组成 的 盎格鲁 - 诺曼 重装 骑兵 ， 完成 了 肆无忌惮 的 盖尔东 道主 的 浩劫 和 溃败,溃败,东道主,18,73,30
16,这个 系列 的 第一个 化身 设定 在 1940年代 ， 在 第二次世界大战 期间 ， 公主 离开 了 她 的 家乡 天堂岛 （ 亚马逊 妇女 在那里 生活 了 几个 世纪 ） ， 帮助 美国 挫败 纳粹 。,公主,天堂岛,8,13,19
17,我们 把 牛奶 倒 进 南瓜 混合物 里,牛奶,南瓜,6,2,5
18,尼日利亚 的 持续 爆发 是 疫苗 引起 的 最大 规模 的 爆发 。,爆发,疫苗,1,3,5
19,我们 的 雇佣兵 军队 现在 已经 堕落 成 一个 无神论 的 阴谋集团 ， 一群 愚蠢 的 杀手 ， 和 苏联 人 在 阿富汗 屠杀 平民 （ 和 我们 一样 残忍 ） 没 什么 两样 。,阴谋集团,杀手,13,11,16
20,世贸中心 内部 的 火灾 是 由 燃料 爆炸 引起 的 。,火灾,燃料,1,3,6
21,一个 富有 诗意 的 转折点 是 ， 摇滚 乐队 引发 的 海啸 迫使 许多 美国爵士乐 和 蓝调 歌手 到 英国 找工作 ， 安德森 在 1965年 就 在 英国 找到 了 受欢迎 的 听众 。,海啸,乐队,1,11,8
22,燃油 脱硫 装置 循环 气 旁路 管道 腐蚀 引起 的 泄漏 和 火灾,泄漏,腐蚀,1,10,7
23,它 强调 了 对不受 监管 的 行业 生产 的 产品 中 尼古丁 释放 的 持续 监控 的 必要性 。,产品,行业,16,9,6
24,一块 大 大理石 掉 到 碗 里,大理石,碗,6,2,5
25,一名 美国铁路公司 的 乘客 ， 用 手机 谈论 恐怖 威胁 ， 惊动 了 其他 乘客 ， 他 被 从 火车 上 拉 了 下来 ， 目前 被 关押 在 科罗拉多州 。,乘客,火车,8,3,19
26,第二个 模拟 是 从 配体 插入 结合 位点 后 的 未 折叠 x射线 结构 开始 的 。,模拟,结构,8,1,13
27,他 把 答案 公布 在 网站 上,答案,网站,6,2,5
28,程序员 使用 高级语言 来 实现 其 算法,程序员,高级语言,11,0,2
29,公园 内 美丽 的 热液 特征 （ 间歇泉 、 温泉 、 泥 盆 等 ） 、 隆起 和 沉降 以及 许多 地震 都是 由 热液 和 岩浆流体运动 引起 的 。,地震,岩浆流体运动,1,21,26
30,来自 苏格兰语 （ lingle ） 和 法语 （ ligneul，lignoul ） 的 是 鞋匠 的 缝纫线 ， 打蜡 和 刷 毛 （ 见 打蜡 端 ）,鞋匠,缝纫线,11,12,14
31,对 我们 来说 ， 艺术家 的 书 只是 指 艺术家 的 书 ， 是 作为 艺术 作品 而 不是 作为 文学 作品 的 书 。,艺术家,书,17,4,23
32,我 父母 给 她 买 了 一条 银 项链 ， 几乎 和 照片 上 的 一模一样,银,项链,18,7,8
33,车辆 在 空气 中 的 向前运动 引起 了 对 道路 尾 水管 的 抽吸,向前运动,抽吸,0,5,13
34,下面 的 图片 展示 了 一个 小 教堂 和 城堡 内 庭院 的 西侧,庭院,城堡,2,11,9
35,面试 中 最 难 回答 的 问题 之 一 与 薪水 有关 。,问题,薪水,14,6,10
36,这 一 传统 在 先知 的 早期 传记 中 有 叙述 。,传统,传记,15,2,7
37,一个 试图 偷 卡车 的 小偷 用 螺丝刀 把 点火器 打破 了,小偷,螺丝刀,11,5,7
38,猎犬 的 鼻子 是 如此 之 好 ， 以至于 在 涉及 美国 最高 法院 的 案件 中 ， 猎犬 所 发现 的 证据 将 是 站 得住脚 的 。,鼻子,猎犬,2,2,18
39,这些 设备 是 在 上世纪80年代 在 比弗顿 的 工厂 制造 的 ， 当时 生产 转移 到 别处 ， 工厂 的 一部分 被 出售 。,设备,工厂,16,1,18
40,昂贵 的 制服 和 严格 的 投票 使 它 在 性质 上 有点 过于 排 他性 ， 但 最后 它 实际上 成为 了 现在 和 未来 国家 领导人 的 集合 ， 从而 达到 了 它 的 目的 。,集合,领导人,13,29,27
41,从 车站 到 车站 的 火车 大约 是 30分钟 。,火车,车站,18,5,3
42,这个 考古 遗址 的 文物 来自 于 被 遗忘 已 久 的 文化 。,文物,文化,8,4,12
43,屋顶 漏水 、 水管 漏水 或 洪水 造成 的 水 损害 会导致 霉菌 生长,损害,生长,0,10,13
44,白天 ， 我 军 在 小莫林河畔 成功 地 与 各 兵种 的 强大 后卫 交战 ， 从而 在 物质 上 帮助 了 我方 左右 两军 的 前进 ， 敌人 正在 对其 进行 最大 的 努力 。,敌人,努力,18,28,34
45,我们 总是 努力 为 程序员 保持 最好 的 工作 环境 ， 从 高薪 和 有利 的 工作 环境 开始,环境,程序员,18,9,4
